NOME,ENDERECO,QUARTOS,VAGAS,CONDOMINIO,AREA,VALOR
Apartamento Ponta Negra ,Ponta Negra,2,1,0,56,R$ 1.300
Apartamento Joan Mirò localizaçao excelente Aluguel diaria ou temporada,Ponta Negra,2,0,0,45,
Apt 2/4 Mobiliado  Tudo incluso 2.000 ,Candelária,2,1,0,57,R$ 2.000
Dividir apartamento ,Barro Vermelho,3,1,0,0,
Alugo Apartamento no  1? andar,Planalto,2,1,0,50,R$ 700
Alugo Apto no Sun Golden - 2/4 sendo 1 suíte - R$ 1.300,Ponta Negra,2,1,0,56,R$ 1.300
"Apartamento com 3 dormitórios para alugar, 81 m² por R$ 2.350,00/mês - Lagoa Nova - Natal/",Lagoa Nova,3,1,0,81,R$ 2.350
Alugo ap mobiliado,Planalto,2,1,0,60,R$ 800
Flat conjunto Alagamar ,Ponta Negra,1,1,0,0,R$ 1.200
Alugo ap mobiliado,Planalto,2,1,0,60,R$ 800
Locação Planalto - Parada de ônibus em frente ao empreendimento,Planalto,2,1,0,54,R$ 750
2 quartos sendo 1 suíte | Lazer Completo | Padrão Superior | Ótima Localização,Pajuçara,2,1,0,50,R$ 950
Alugo apartamento bairro Lagoa nova,Lagoa Nova,3,2,0,95,R$ 1.800
Apartamento vista mar em Ponta Negra,Ponta Negra,2,1,0,0,R$ 2.200
CASA CONJUNTO PONTA NEGRA.,Ponta Negra,2,1,0,0,R$ 1.000
"Apto de 3/4, 76m² no condomínio Natture em Candelária, Natal RN",Candelária,3,2,0,76,R$ 2.000
"Condomínio Alice Grilo: Apto 4/4 sendo 3 suítes, 160m² em Lagoa Nova, Natal RN",Lagoa Nova,4,3,0,160,R$ 4.000
Carmel,Lagoa Nova,2,1,0,55,R$ 1.600
"Apartamento para alugar com 2 dormitórios em Candelária, Natal cod:4274",Candelária,2,1,250,60,R$ 750
"Apartamento no Ed. Paul Cezanne em Neópolis c/ 98 m², 1º andar",Neópolis,3,2,0,98,R$ 2.000
ALUGUEL APTO A 250M DA PRAIA PN,Ponta Negra,1,1,0,40,R$ 1.000
Procuro pessoas para dividir AP,Lagoa Nova,3,0,0,0,
Cód. 5399 - Corais de Ponta Negra,Ponta Negra,3,2,760,90,R$ 1.100
Apartamento 2 quartos Tirol,Tirol,2,1,0,40,R$ 900
Alugo Apartamento com 02 quartos em Ponta Negra,Ponta Negra,2,1,0,55,R$ 1.800
Rio Tupana Ponta Negra,Ponta Negra,3,2,0,167,R$ 3.500
Alugo Apartamento 3/4 Capim Macio - Ventilado e Pronto para Morar,Capim Macio,3,1,550,83,R$ 713
Kitnet,Dix-Sept Rosado,1,0,0,23,R$ 500
Excelente apartamento no Planalto - Cond Solar das Estações,Planalto,2,1,0,0,R$ 750
Duna Barcane ,Ponta Negra,2,1,0,57,R$ 2.400
Cod. 11294 - Cond. Praia do Forte,Ponta Negra,2,1,190,46,R$ 700
Alugo apartamento com 02 Quartos no Ahead Ponta Negra,Ponta Negra,2,1,0,0,R$ 3.000
Apartamento Mobiliado 2/4 em Ponta Negra ,Ponta Negra,2,1,0,0,R$ 2.000
Kit Net bem localizado Conjunto Pirangi,Neópolis,1,0,0,32,R$ 500
"Praia do forte, Ap com jardim",Neópolis,2,1,0,55,R$ 1.000
Apartamento para aluguel em ponta Negra,Ponta Negra,2,2,350,59,R$ 2.200
Aluguel - Apartamento em Ponta Negra - Açai Flat - 36m²,Ponta Negra,1,0,0,40,R$ 1.703
Alugo apartamento no Olimpo Capim Macio ,Capim Macio,2,1,0,59,R$ 1.600
Excelente kitnet por R$500 Conj. Pirangi 1 Neópolis,Neópolis,1,0,0,0,R$ 500
Aluga-se apartamento no centro de Caicó!,Neópolis,2,0,0,0,R$ 700
"Cond. Ecogarden Ponta Negra - Apartamento de 2/4 sendo 1 suíte, com 56m², para locação",Ponta Negra,2,1,0,56,R$ 1.400
Kitnet em Lagoa Nova,Lagoa Nova,1,0,0,24,R$ 950
"Cond. Sun Towers; com projetados; 2/4, sendo 1 suíte; 59m²; 1 vaga; próximo a BR 101",Pitimbu,2,1,0,59,R$ 1.600
Apartamento para Aluguel,Tirol,2,1,0,94,R$ 1.400
Aluga se apartamento,Petrópolis,2,1,350,56,R$ 1.700
"Locação 2/4 sendo 1 suíte - R$ 1.400,00 - Ponta Negra (tudo incluso)",Ponta Negra,2,0,0,54,R$ 1.400
"Apartamento 2/4 sendo 1 suíte, mobiliado, em Capim Macio ",Capim Macio,2,1,0,57,R$ 1.850
Alugo apto em capim macio R$700,Capim Macio,3,1,0,72,R$ 700
"Apto 114m2, 3/4, sala ampla, área de lazer perfeita, Lácqua, sombra, taxas inclusas",Neópolis,3,2,0,114,R$ 3.000
Aluguel - Apartamento em Ponta Negra - Uma Suíte - Mobiliado - Papaya Flat,Ponta Negra,1,0,0,36,R$ 1.701
Capim Macio-Serra do Cabugi-Sombra-02 quartos-1º andar- Mil Reais.,Capim Macio,2,1,1,50,R$ 1.000
Apto 3/4 em Neópolis,Neópolis,3,1,150,85,R$ 820
Flat em ponta negra beira mar,Ponta Negra,1,1,0,0,R$ 180
LM AP2206- Lindíssimo Apartamento 2 quartos Pitimbu,Pitimbu,2,1,0,55,R$ 1.000
LM- Alto Padrão Porto Arena - 3 quartos,Candelária,3,2,0,98,R$ 3.200
Apartamentos em Felipe camarão,Felipe Camarão,1,0,0,0,R$ 400
"Apartamento para Locação em Natal, Neópolis, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga",Capim Macio,3,1,0,81,R$ 800
"Apartamento para Locação em Natal, Capim Macio, 3 dormitórios, 1 suíte, 1 banheiro, 1 vaga",Capim Macio,3,1,0,70,R$ 1.600
Apartamento no Tirol (Condomínio La Vivance) com 3\4 e 96 metros,Tirol,3,2,600,96,R$ 450.000
"Apartamento para Locação em Natal, Capim Macio, 3 dormitórios, 1 suíte, 1 banheiro, 1 vaga",Capim Macio,3,1,0,70,R$ 1.600
"Apartamento para alugar com 3 dormitórios em Ponta negra, Natal cod:AA-7206",Ponta Negra,3,2,664,0,R$ 2.100
"Apartamento para alugar com 4 dormitórios em Candelária, Natal cod:2796",Lagoa Nova,4,3,1,396,R$ 1.800
Apartamento no Condomínio Sports Park mobiliado com 2\4,Ponta Negra,2,2,0,108,R$ 2.800
"Apartamento para alugar com 2 dormitórios em Lagoa nova, Natal cod:AA-7207",Lagoa Nova,2,2,520,143,R$ 1.332
Apartamento em capim macio próximo da roberto freire e unp com 50 metros 1\4,Capim Macio,1,1,0,50,R$ 800
Apto 1 quarto Ponta Negra,Ponta Negra,1,0,0,55,R$ 800
"Apartamento para alugar com 4 dormitórios em Tirol, Natal cod:AA-7208",Tirol,4,3,2,246,R$ 2.293
"Excelente apartamento em lagoa nova com 3 quartos,",Lagoa Nova,3,2,0,130,R$ 3.336
"Apto em Lagoa Nova com 3/4 sendo 1 Suite, Mobiliado, 75m², Andar Baixo",Lagoa Nova,3,1,0,75,R$ 1.800
Condomínio Parque das Pedras ,Candelária,2,1,0,75,R$ 1.050
Apartamento Palazzo Ponta Negra em Capim Macio,Capim Macio,3,3,0,156,R$ 4.300
"Apartamento para alugar com 3 dormitórios em Lagoa nova, Natal cod:10354",Lagoa Nova,3,1,470,68,R$ 850
"Apartamento com 3 quartos, 98 m², 3º andar",Neópolis,3,1,0,97,R$ 1.450
Sofisticação & Exclusividade - Bem vindo ao seu novo Lar =),Lagoa Nova,3,2,800,112,R$ 2.500
Alugo Estrela do Atlantico ,Ponta Negra,2,1,0,59,R$ 2.300
"Apartamento para alugar com 2 dormitórios em Cidade satélite, Natal cod:4985",Pitimbu,2,1,0,56,R$ 650
Apartamento acabamento luxo para locaçao natture,Neópolis,2,2,0,75,R$ 2.500
Aluga Apartamento,Cidade Alta,2,0,0,0,R$ 700
Alugo Kitnet Capim Macio ,Capim Macio,1,0,0,0,R$ 650
Apartamento Mobiliado em ponta negra,Ponta Negra,2,0,0,34,R$ 1.300
Aluguel - Apartamento em Ponta Negra - 1 suíte - Kiwi Flat - 40m²,Ponta Negra,1,0,0,40,R$ 1.500
Apartamento em neopolis/capim macio Oportunidade única,Capim Macio,2,1,100,70,R$ 800
Villagio Veritá I,Pitimbu,2,1,0,55,R$ 900
"Cobertura smile vilage com 4/4 para aluguel,sendo 3 suites",Cidade da Esperança,4,3,0,171,R$ 3.200
Excelente Apto 3/4 no Condominio Central Park Club,Neópolis,3,2,390,75,R$ 2.000
"Alugo apt mobiliado no serra Cabugi l, Capim Macio ",Capim Macio,3,1,360,75,R$ 1.100
Apartamento no Duna Barcane,Ponta Negra,2,1,0,56,R$ 329.000
LMAP2199 Apartamento Residencial Jardins do Alto,Tirol,2,1,0,700,R$ 3.000
Apartamento para locação em Capim Macio - Natal/RN.,Capim Macio,1,2,320,55,R$ 1.300
LMAP1358 Apartamento Residencial Quality,Ponta Negra,2,1,1,6000,R$ 1.300
Kit Net em Candelária (ótima localização),Candelária,1,0,0,0,R$ 500
Kit net em Candelária (um disponível),Candelária,1,0,0,0,R$ 500
Potengi Flat!,Petrópolis,1,1,0,60,R$ 2.000
Excelente oportunidade no Duna Barcane 11° andar,Ponta Negra,2,1,0,56,R$ 330.000
Kitnet em Bom Pastor,Bom Pastor,1,0,0,40,R$ 370
LMAP2184 Apartamento Residencial Porto Salina,Areia Preta,3,3,1,1890,R$ 2.194
"Apart. Candelária (90m², bem localizado, 3/4 sendo 01 suíte) R$ 1.400,00",Candelária,3,1,0,90,R$ 1.400
"Bairro Neópolis - BR 101 - R$ 600,00 Incluso Condomínio,água, internet e IPTU",Neópolis,1,0,0,26,R$ 600
Flat Mobiliado em Areia Preta,Petrópolis,1,1,0,35,R$ 2.001
"Kitnet em Neópolis à partir de R$ 600,00",Neópolis,1,0,0,20,R$ 600
"Aluga-se, Apto com 2Quartos sendo 1Suite, em Capim Macio",Capim Macio,2,1,0,56,R$ 1.588
Alugo apartamento no jardins do Alto,Tirol,2,1,0,70,
Alugo kitnet,Alecrim,1,0,0,20,R$ 550
Vendo Excelente apartamento de 2 quartos no Spazzio Privillege,Ponta Negra,2,1,0,60,R$ 249.000
Alugo Excelente Apto no Cond Sun Gardens,Pitimbu,2,2,0,0,R$ 1.250
Alugo Apto de Alto Padrão Carlos Drumond de Andrade - Mobiliado,Lagoa Nova,3,3,0,205,R$ 8.000
"Apartamento com dois dormitórios no bairro de Ponta Negra, vista para o mar",Ponta Negra,2,1,0,56,R$ 2.000
Apartamento no Olimpo em capim macio com 3 quartos venha morar em uma ótima localização,Capim Macio,3,1,0,64,R$ 1.600
"Apartamento com 1 dormitório para alugar, 54 m² por R$ 1.750,00/mês - Tirol - Natal/RN",Tirol,1,1,0,54,R$ 1.750
Oportunidade!!! Apartamento para Alugar em Capim Macio,Capim Macio,2,1,0,0,R$ 1.600
Dividir apartamento ,Candelária,2,0,0,0,
"Apartamento com 2 dormitórios para alugar, 56 m² por R$ 1.000,00/mês - Capim Macio - Natal",Capim Macio,2,1,449,56,R$ 1.000
"Ahead de ponta negra com 2 suites ótima localização, venha morar 150 metros da praia",Ponta Negra,2,1,0,58,R$ 2.000
"Apartamento mobiliado, com 284m², 4 suítes, no Tirol",Tirol,4,4,2,284,R$ 6.000
Lindo apto locação 4/4 ( J ),Capim Macio,4,0,0,109,R$ 2.800
"Apartamento com 3 dormitórios para alugar, 101 m² por R$ 3.500,00/mês - Ponta Negra - Nata",Ponta Negra,3,2,0,101,R$ 3.500
"Apartamento com 3 dormitórios para alugar, 88 m² por R$ 2.000,00/mês - Barro Vermelho - Na",Barro Vermelho,3,2,0,88,R$ 2.000
"Apartamento para alugar com 3 dormitórios em Capim macio, Natal cod:RMX_7653_369510",Capim Macio,3,2,0,68,R$ 1.900
Apartamento,Ponta Negra,2,1,445,57,R$ 1.800
"Apartamento com 2 dormitórios para alugar, 58 m² - Neópolis - Natal/RN - AP0523",Neópolis,2,1,100,58,R$ 600
"Apartamento com 3 dormitórios para alugar, 63 m² por R$ 1.600,00/mês - Capim Macio - Natal",Capim Macio,3,1,0,63,R$ 1.600
"Apartamento em Candelária (03 suítes, móveis planejados no Green Tower)",Lagoa Nova,3,1,0,100,R$ 2.300
"Apartamento com 3 dormitórios para alugar, 109 m² por R$ 5.000/mês - Ponta Negra - Natal/R",Ponta Negra,3,2,0,109,R$ 5.000
"Apartamento MOBILIADO com 2 dormitórios para alugar, 54 m² por R$ 1.450/mês - Ponta Negra ",Ponta Negra,2,0,0,54,R$ 1.450
"Apartamento para alugar com 2 dormitórios em Capim macio, Natal cod:RMX_7653_369516",Capim Macio,2,1,0,57,R$ 1.500
Cond. Serrambi VII; 2 quartos; 55m²; em Neópolis,Neópolis,2,1,0,55,R$ 892
"Apartamento com 3 dormitórios para alugar, 78 m² por R$ 1.500/mês - Lagoa Nova - Natal/RN",Lagoa Nova,3,1,0,78,R$ 1.500
"Flat com 2 dormitórios para alugar, 60 m² por R$ 2.000/mês - Petrópolis - Natal/RN",Petrópolis,2,0,0,60,R$ 2.000
Vende se apartamento de 01 quarto,Dix-Sept Rosado,1,1,160,42,R$ 110.000
Cobertura no Quartier para locação,Lagoa Nova,4,2,0,0,R$ 6.500
Apartamento mobiliado pra Locação no Quality suítes ,Ponta Negra,2,1,0,60,R$ 2.500
Alugo Apartamento no Planalto,Planalto,2,1,0,56,R$ 750
Ed. Samanna alugo!,Lagoa Nova,2,1,450,57,R$ 1.600
Alugo ou vendo Apartamento Capim Macio,Capim Macio,2,1,380,65,R$ 1.000
Lindo Apto 2 suítes- Mobiliado com máquina de lavar- Frente Mar,Ponta Negra,2,1,0,56,R$ 2.200
"Apartamento em Capim Macio com 2 quartos, sendo 1 suíte com 2 garagens",Capim Macio,2,2,0,65,R$ 1.700
Apartamento 2 quartos Estrela de Natal,Pitimbu,2,1,0,56,R$ 1.800
"Em cidade Satélite, próximo a BR 101",Pitimbu,2,1,0,57,R$ 1.800
Apto - Mobiliado - 1° andar(escada) - Nascente - Resid. Camurupim - Ponta Negra,Ponta Negra,2,1,0,65,R$ 1.500
Apto - Mobiliado - 24° andar - 2 quartos(suite) no Duna Barcane - Vista Mar!,Ponta Negra,2,1,0,56,R$ 2.700
Apartamento para locação em lagoa nova - ahead lagoa nova - reformado,Lagoa Nova,1,1,0,56,R$ 1.800
Alugo,Cidade da Esperança,2,1,0,0,R$ 0
"Quartier - 3/4 sendo 1 suíte, armários na Cozinha , Lagoa Nova",Lagoa Nova,3,1,0,81,R$ 2.350
"Kitnet com 1 dormitório para alugar, 12 m² por R$ 1.000,00/mês - Mirassol - Natal/RN",Capim Macio,1,1,0,12,R$ 1.000
"Apartamento com 3 dormitórios para alugar, 93 m² - Lagoa Nova - Natal/RN - AP0395",Lagoa Nova,3,1,425,93,R$ 1.000
"Apartamento com 4 dormitórios para alugar, 123 m² por R$ 4.000,00/mês - Capim Macio - Nata",Capim Macio,4,2,0,123,R$ 4.000
"Apartamento com 2 dormitórios para alugar, 181 m² - Tirol - Natal/RN AP0446",Tirol,2,1,0,181,R$ 800
More na melhor localização,Neópolis,1,0,0,31,R$ 700
LMAP1683 Apartamento Residencial Ipojuca,Lagoa Nova,2,1,0,580,R$ 1.300
LMAP1270 Apartamento Residencial Imperial Ponta Negra,Ponta Negra,3,2,580,1020,R$ 2.200
Procuro alguém pra dividir um apartamento ,Praia do Meio,3,0,0,0,
LMAP0648 Apartamento Residencial Kitty,Lagoa Nova,2,1,350,5300,R$ 1.100
"Aluga-se kitnet ,próximo do shoping midwey e unp da salgado Filho).A partir de700,00.",Lagoa Nova,1,0,0,0,R$ 700
Aluguel - Apartamento em Capim Macio - 3/4 Suíte - Olimpo,Capim Macio,3,0,0,70,R$ 1.512
Alugo cobertura no in mare,Lagoa Nova,2,2,0,115,R$ 500
Alugo Kitnet,Cidade da Esperança,1,0,0,0,R$ 400
Apartamento para aluguel com 81 metros quadrados com 3 quartos em Capim Macio - Natal - RN,Capim Macio,3,1,0,81,R$ 3.000
Apartamento 2/4 em ótima localização no Tirol,Tirol,2,1,0,55,R$ 1.550
Aluguel - Apartamento em Ponta Negra - Açai Flat - 36m²,Ponta Negra,1,0,0,36,R$ 1.702
KITNET PARA ALUGAR R$400,Neópolis,1,0,0,20,R$ 400
"Lindo apartamento planejado no Edifício Mirante dos Eucaliptos, no alto da Candelaria.",Candelária,2,1,0,51,R$ 1.390
Locação: Residencial Olimpo. *,Capim Macio,3,1,0,0,R$ 1.600
"Apartamento para alugar com 2 dormitórios em Lagoa nova, Natal cod:821180",Dix-Sept Rosado,2,1,440,61,R$ 1.005
Locação: Raresidencial Olimpo,Capim Macio,3,1,0,0,R$ 1.600
Apartamento mobiliado de 1 quarto,Ponta Negra,1,0,0,17,R$ 2.500
Kit Net,Barro Vermelho,1,0,450,0,R$ 450
Kit Net - Vila de Ponta Negra,Ponta Negra,1,1,0,0,R$ 500
Flat com garagem no Tirol,Tirol,1,1,0,40,R$ 950
Apartamento para alugar,Dix-Sept Rosado,2,0,0,100,R$ 700
Aluguel - Apartamento no Condomínio Estrela De Natal,Pitimbu,2,1,0,56,R$ 1.450
3/4 em Candelaria ,Candelária,3,2,0,105,R$ 2.200
LM FL0101 Flat Residencial Ocean View,Petrópolis,1,1,0,500,R$ 2.000
Ter essa vista incrivel todas os dias!!! More em Ponta Negra,Ponta Negra,2,1,0,0,R$ 3.000
"Apartamento para Locação em Natal, Petrópolis, 4 dormitórios, 2 suítes, 4 banheiros, 2 vag",Petrópolis,4,2,0,240,R$ 3.500
"Apartamento com 3 dormitórios para alugar, 134 m² por R 2.300,00/mês - Candelária - Natal/",Candelária,3,2,0,134,R$ 2.300
"Apartamento para Locação em Natal, Petrópolis, 4 dormitórios, 4 suítes, 5 banheiros, 2 vag",Petrópolis,4,2,0,240,R$ 3.000
"Apartamento para Locação em Natal, Capim Macio, 2 dormitórios, 1 banheiro, 1 vaga",Capim Macio,2,1,0,55,R$ 1.700
"Residencial Monte Castelo, Barro Vermelho - Apto 2/4 sendo 1 suíte com 79m², para alugar",Barro Vermelho,2,1,0,79,R$ 1.450
Flat Interatlantico!!,Petrópolis,1,1,0,46,R$ 2.500
"Apartamento para alugar com 3 dormitórios em Lagoa nova, Natal cod:816593",Lagoa Nova,3,1,500,70,R$ 900
Alugo excelente Kitnet em Lagoa nova,Lagoa Nova,1,1,0,0,R$ 650
"Kitnet conjt Pirangi Neópolis 600,00 água luz e internet",Neópolis,1,0,0,0,R$ 600
  PRAIA DE PIRANGI - FEVEREIRO E CARNAVAL                ,Candelária,3,2,0,0,
"Apartamento para alugar, 340 m² , com 4 Suítes no Tirol.",Tirol,4,3,2,318,R$ 1.653
Alugo apto,Neópolis,3,1,1,75,R$ 850
"105APA - Alugo apartamento com 3 quartos, semi mobiliado em Capim Macio",Capim Macio,3,2,0,78,R$ 2.500
Apartamento no bairro latino,Candelária,3,1,0,100,R$ 1.400
Apartamento jardim imperial,Planalto,2,1,0,60,R$ 680
"Apartamento com 2 dormitórios para alugar, 57 m² por R$ 1./mês - Tirol - Natal/RN",Tirol,2,1,0,57,R$ 1.800
Aluguel - Apartamento em Ponta Negra - Açai Flat - 36m²,Ponta Negra,1,0,0,36,R$ 1.600
"Kitnet conjt Pirangi Neópolis, 480,00 água,luz e internet",Neópolis,1,0,0,0,R$ 480
LOCAÇÃO em Ponta Negra!! Condomínio Therramare. 2 quartos/ 1 suíte,Ponta Negra,2,1,0,55,R$ 1.600
Edifício Granada Flat/ Ponta Negra-Natal RN,Ponta Negra,1,1,0,53,R$ 1.600
Alugo kitnet em Dix Sept Rosado,Nossa Senhora de Nazaré,1,0,0,0,R$ 300
